"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 20 09:49:56 CEST 2021","Tue Jul 20 09:50:22 CEST 2021","25582","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint LU @SC2A | {""articlenumber"":""FA020116800""}","SC2A Hint LU @SC2A | {""articlenumber"":""FA020116800""}","tests if the SC2A hint is displayed"
"passed","Tue Jul 20 09:51:49 CEST 2021","Tue Jul 20 09:52:02 CEST 2021","12863","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint NL @SC2A | {""articlenumber"":""FA012000001""}","SC2A Hint NL @SC2A | {""articlenumber"":""FA012000001""}","tests if the SC2A hint is displayed"
"passed","Tue Jul 20 09:55:42 CEST 2021","Tue Jul 20 09:55:55 CEST 2021","13690","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint NO @SC2A | {""articlenumber"":""HA042000001""}","SC2A Hint NO @SC2A | {""articlenumber"":""HA042000001""}","tests if the SC2A hint is displayed"
"passed","Tue Jul 20 09:34:12 CEST 2021","Tue Jul 20 09:34:26 CEST 2021","13570","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint DE @SC2A | {""articlenumber"":48690113540}","SC2A Hint DE @SC2A | {""articlenumber"":48690113540}","tests if the SC2A hint is displayed"
"passed","Tue Jul 20 10:02:16 CEST 2021","Tue Jul 20 10:02:30 CEST 2021","14581","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint SE @SC2A | {""articlenumber"":""HA042000001""}","SC2A Hint SE @SC2A | {""articlenumber"":""HA042000001""}","tests if the SC2A hint is displayed"
"passed","Tue Jul 20 09:38:36 CEST 2021","Tue Jul 20 09:38:56 CEST 2021","19927","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint AU @SC2A | {""articlenumber"":""FA020116800""}","SC2A Hint AU @SC2A | {""articlenumber"":""FA020116800""}","tests if the SC2A hint is displayed"
"passed","Tue Jul 20 09:55:28 CEST 2021","Tue Jul 20 09:55:41 CEST 2021","13459","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint NO @SC2A | {""articlenumber"":""FA012000001""}","SC2A Hint NO @SC2A | {""articlenumber"":""FA012000001""}","tests if the SC2A hint is displayed"
"passed","Tue Jul 20 09:57:34 CEST 2021","Tue Jul 20 09:57:48 CEST 2021","14513","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint PL @SC2A | {""articlenumber"":""LA012000002""}","SC2A Hint PL @SC2A | {""articlenumber"":""LA012000002""}","tests if the SC2A hint is displayed"
"passed","Tue Jul 20 09:49:00 CEST 2021","Tue Jul 20 09:49:20 CEST 2021","20558","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint LT @SC2A | {""articlenumber"":""HA042000001""}","SC2A Hint LT @SC2A | {""articlenumber"":""HA042000001""}","tests if the SC2A hint is displayed"
"passed","Tue Jul 20 10:02:03 CEST 2021","Tue Jul 20 10:02:15 CEST 2021","12033","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint SE @SC2A | {""articlenumber"":""FA012000001""}","SC2A Hint SE @SC2A | {""articlenumber"":""FA012000001""}","tests if the SC2A hint is displayed"
"passed","Tue Jul 20 10:05:24 CEST 2021","Tue Jul 20 10:05:37 CEST 2021","13508","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint GB @SC2A | {""articlenumber"":""LA012000002""}","SC2A Hint GB @SC2A | {""articlenumber"":""LA012000002""}","tests if the SC2A hint is displayed"
